state_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Idaho,713015.0,739000.0,763000.0,782000.0,808000.0,832000.0,857000.0,883000.0,911000.0,933000.0,944127.0,962204.0,973719.0,981866.0,990841.0,994052.0,990222.0,984997.0,985661.0,994422.0,1011882.0,1038915.0,1066490.0,1101204.0,1135459.0,1165000.0,1187706.0,1210638.0,1230923.0,1251700.0,1299551.0,1321170.0,1342149.0,1364109.0,1391718.0,1425862.0,1464413.0,1499245.0,1527506.0,1545801.0,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208
Illinois,11110288.0,11206000.0,11258000.0,11260000.0,11274000.0,11306000.0,11360000.0,11406000.0,11434000.0,11423000.0,11427429.0,11443461.0,11423413.0,11408817.0,11412128.0,11399803.0,11387256.0,11391176.0,11390186.0,11409782.0,11446979.0,11535973.0,11635197.0,11725984.0,11804986.0,11884935.0,11953003.0,12011509.0,12069774.0,12128370.0,12437645.0,12507833.0,12558229.0,12597981.0,12645295.0,12674452.0,12718011.0,12779417.0,12842954.0,12910409.0,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080
Indiana,5195392.0,5250000.0,5296000.0,5329000.0,5350000.0,5351000.0,5372000.0,5405000.0,5446000.0,5475000.0,5490210.0,5480440.0,5467918.0,5450396.0,5458322.0,5459214.0,5454103.0,5473023.0,5491733.0,5523679.0,5555097.0,5602062.0,5648649.0,5701965.0,5745626.0,5791819.0,5834908.0,5872370.0,5907617.0,5942901.0,6091649.0,6124967.0,6149007.0,6181789.0,6214454.0,6253120.0,6301700.0,6346113.0,6388309.0,6423113.0,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878
Iowa,2825368.0,2852000.0,2860000.0,2864000.0,2868000.0,2881000.0,2904000.0,2914000.0,2919000.0,2917000.0,2913808.0,2907985.0,2888190.0,2870547.0,2858615.0,2829684.0,2791969.0,2767006.0,2768393.0,2770590.0,2779769.0,2791227.0,2806923.0,2820525.0,2829422.0,2840860.0,2848473.0,2854396.0,2861025.0,2869413.0,2928184.0,2929424.0,2929264.0,2932799.0,2941358.0,2949450.0,2964391.0,2978719.0,2993987.0,3007856.0,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145
Kansas,2249071.0,2246000.0,2255000.0,2264000.0,2268000.0,2279000.0,2299000.0,2318000.0,2333000.0,2347000.0,2364236.0,2384853.0,2401207.0,2415529.0,2424088.0,2427401.0,2432614.0,2445367.0,2461995.0,2472838.0,2480683.0,2495209.0,2526042.0,2547605.0,2569118.0,2586942.0,2598266.0,2616339.0,2638667.0,2654052.0,2692810.0,2701456.0,2712598.0,2721955.0,2730765.0,2741771.0,2755700.0,2775586.0,2797375.0,2818747.0,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505
Kentucky,3220711.0,3298000.0,3336000.0,3372000.0,3417000.0,3469000.0,3530000.0,3575000.0,3611000.0,3644000.0,3660334.0,3670395.0,3683449.0,3694469.0,3695459.0,3694816.0,3687805.0,3683330.0,3680002.0,3677318.0,3692584.0,3714686.0,3756358.0,3792288.0,3823215.0,3855248.0,3881051.0,3907816.0,3934310.0,3960825.0,4048903.0,4069191.0,4091330.0,4118627.0,4147970.0,4182293.0,4219374.0,4256278.0,4287931.0,4314113.0,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402
Louisiana,3644637.0,3711000.0,3762000.0,3789000.0,3821000.0,3887000.0,3952000.0,4016000.0,4073000.0,4139000.0,4206124.0,4283297.0,4352609.0,4395311.0,4400474.0,4408113.0,4406922.0,4344151.0,4288859.0,4252896.0,4219179.0,4240950.0,4270849.0,4284749.0,4306500.0,4327978.0,4338763.0,4351390.0,4362758.0,4372035.0,4468979.0,4460816.0,4466068.0,4474726.0,4489327.0,4497691.0,4240327.0,4376122.0,4451513.0,4492076.0,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978
Maine,993722.0,1016000.0,1035000.0,1046000.0,1060000.0,1073000.0,1090000.0,1105000.0,1115000.0,1125000.0,1125043.0,1133033.0,1136683.0,1144772.0,1155634.0,1162935.0,1170126.0,1184577.0,1203840.0,1219961.0,1231296.0,1235439.0,1235748.0,1238256.0,1237687.0,1237438.0,1241436.0,1245215.0,1247554.0,1253040.0,1277211.0,1284791.0,1293938.0,1303102.0,1308253.0,1311631.0,1314963.0,1317308.0,1319691.0,1318301.0,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404
Maryland,3923897.0,4022000.0,4081000.0,4109000.0,4133000.0,4157000.0,4172000.0,4195000.0,4212000.0,4223000.0,4216933.0,4261905.0,4282923.0,4313329.0,4365246.0,4413072.0,4486956.0,4565558.0,4657903.0,4727303.0,4797431.0,4856176.0,4902545.0,4942504.0,4985411.0,5023650.0,5057142.0,5092914.0,5130072.0,5171634.0,5310579.0,5375033.0,5439913.0,5496708.0,5542659.0,5582520.0,5612196.0,5634242.0,5658655.0,5699478.0,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718
Massachusetts,5689170.0,5739000.0,5762000.0,5784000.0,5777000.0,5762000.0,5749000.0,5744000.0,5743000.0,5746000.0,5737093.0,5768685.0,5771222.0,5799405.0,5840774.0,5880734.0,5902677.0,5935205.0,5979983.0,6015478.0,6018664.0,5998652.0,5993474.0,6010884.0,6031352.0,6062335.0,6085393.0,6115476.0,6144407.0,6175169.0,6363015.0,6411730.0,6440978.0,6451637.0,6451279.0,6453031.0,6466399.0,6499275.0,6543595.0,6593587.0,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149
Michigan,8881826.0,8972000.0,9025000.0,9072000.0,9109000.0,9108000.0,9117000.0,9157000.0,9202000.0,9249000.0,9262044.0,9209287.0,9115196.0,9047764.0,9049454.0,9076287.0,9127774.0,9187484.0,9218002.0,9253298.0,9310462.0,9395022.0,9470323.0,9529240.0,9584481.0,9659871.0,9739184.0,9785450.0,9820231.0,9863775.0,9955308.0,10006093.0,10038767.0,10066351.0,10089305.0,10090554.0,10082438.0,10050847.0,10002486.0,9969727.0,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
Minnesota,3806103.0,3852000.0,3867000.0,3885000.0,3898000.0,3926000.0,3957000.0,3980000.0,4005000.0,4038000.0,4075970.0,4111733.0,4131450.0,4141458.0,4157705.0,4184301.0,4205213.0,4235136.0,4296163.0,4338056.0,4387283.0,4427429.0,4471503.0,4521709.0,4566028.0,4605445.0,4647723.0,4687726.0,4726411.0,4775508.0,4933958.0,4982813.0,5017458.0,5047862.0,5079344.0,5106560.0,5148346.0,5191206.0,5230567.0,5266214.0,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179
